Disease;Sym1;Sym2;Sym3;Sym4;Sym5;Sym6
Meningitis;ISO;seeing double;fever;stomach hurts;nausea;headache
Meningitis;nausea;seeing double;fever;ISO;stomach hurts;headache
Meningitis;vomiting;strong photosensitivity;stiff neck;the inability to straighten legs;headache;skin rash does not fade
Meningitis;stiff neck;vomiting;strong photosensitivity;skin rash does not fade;headache;the inability to straighten legs
Meningitis;stiff neck;strong photosensitivity;the inability to straighten legs;vomiting;skin rash does not fade;headache
Meningitis;skin rash does not fade;the inability to straighten legs;strong photosensitivity;stiff neck;headache;vomiting
Meningitis;vomiting;stiff neck;skin rash does not fade;the inability to straighten legs;strong photosensitivity;headache
Meningitis;skin rash does not fade;headache;strong photosensitivity;vomiting;the inability to straighten legs;stiff neck
Meningitis;headache;stiff neck;the inability to straighten legs;strong photosensitivity;vomiting;skin rash does not fade
Meningitis;vomiting;strong photosensitivity;stiff neck;headache;skin rash does not fade;the inability to straighten legs
Meningitis;high temperature;confusion;can't straighten leg;the intractability of the occipital muscles;skin rash;headache
Meningitis;can't straighten leg;the intractability of the occipital muscles;skin rash;high temperature;headache;confusion
Meningitis;the intractability of the occipital muscles;skin rash;high temperature;can't straighten leg;headache;confusion
Meningitis;high temperature;can't straighten leg;skin rash;headache;confusion;the intractability of the occipital muscles
Meningitis;the intractability of the occipital muscles;can't straighten leg;high temperature;confusion;headache;skin rash
Meningitis;confusion;headache;high temperature;skin rash;can't straighten leg;the intractability of the occipital muscles
Meningitis;skin rash;headache;confusion;high temperature;can't straighten leg;the intractability of the occipital muscles
Meningitis;skin rash;the intractability of the occipital muscles;confusion;high temperature;headache;can't straighten leg
"bronchial asthma ";shortness of breath;Dry cough;weakness;Shallow breathing;The position orthopnea;Wheezing
"bronchial asthma ";Wheezing;Shallow breathing;Dry cough;shortness of breath;weakness;The position orthopnea
"bronchial asthma ";weakness;Wheezing;Dry cough;shortness of breath;Shallow breathing;The position orthopnea
"bronchial asthma ";Dry cough;shortness of breath;The position orthopnea;Wheezing;weakness;Shallow breathing
"bronchial asthma ";Wheezing;Dry cough;shortness of breath;Shallow breathing;weakness;The position orthopnea
"bronchial asthma ";Dry cough;Shallow breathing;weakness;Wheezing;The position orthopnea;shortness of breath
"bronchial asthma ";shortness of breath;Dry cough;The position orthopnea;Shallow breathing;weakness;Wheezing
"bronchial asthma ";Dry cough;The position orthopnea;Shallow breathing;weakness;Wheezing;shortness of breath
"bronchial asthma ";dizziness;Blueness of the skin;cough;headache;weakness;Palpitations
"bronchial asthma ";Palpitations;dizziness;Blueness of the skin;headache;weakness;cough
"bronchial asthma ";headache;cough;Blueness of the skin;weakness;Palpitations;dizziness
"bronchial asthma ";dizziness;Palpitations;weakness;headache;Blueness of the skin;cough
"bronchial asthma ";Palpitations;dizziness;cough;weakness;Blueness of the skin;headache
"bronchial asthma ";dizziness;headache;Blueness of the skin;cough;weakness;Palpitations
"bronchial asthma ";cough;dizziness;headache;Palpitations;Blueness of the skin;weakness
"bronchial asthma ";headache;weakness;Blueness of the skin;Palpitations;dizziness;cough
"bronchial asthma ";small bluish discoloration of the skin;palpitation of the heart;suffocation;headache;shortness of breath;wheezing
"bronchial asthma ";small bluish discoloration of the skin;suffocation;headache;wheezing;shortness of breath;palpitation of the heart
"bronchial asthma ";wheezing;small bluish discoloration of the skin;suffocation;shortness of breath;headache;palpitation of the heart
"bronchial asthma ";wheezing;small bluish discoloration of the skin;palpitation of the heart;shortness of breath;headache;suffocation
"bronchial asthma ";headache;small bluish discoloration of the skin;wheezing;palpitation of the heart;shortness of breath;suffocation
"bronchial asthma ";suffocation;wheezing;small bluish discoloration of the skin;headache;shortness of breath;palpitation of the heart
"bronchial asthma ";headache;wheezing;palpitation of the heart;suffocation;shortness of breath;small bluish discoloration of the skin
"bronchial asthma ";shortness of breath;suffocation;wheezing;small bluish discoloration of the skin;headache;palpitation of the heart
"bronchial asthma ";shortness of breath;weakness;cough;headache;wheezing;palpitation of the heart
"bronchial asthma ";weakness;headache;palpitation of the heart;cough;wheezing;shortness of breath
"bronchial asthma ";palpitation of the heart;cough;shortness of breath;headache;weakness;wheezing
"bronchial asthma ";palpitation of the heart;cough;wheezing;headache;shortness of breath;weakness
"bronchial asthma ";headache;cough;weakness;wheezing;shortness of breath;palpitation of the heart
"bronchial asthma ";weakness;cough;shortness of breath;headache;wheezing;palpitation of the heart
"bronchial asthma ";shortness of breath;weakness;wheezing;headache;palpitation of the heart;cough
"bronchial asthma ";wheezing;cough;shortness of breath;headache;palpitation of the heart;weakness
angioedema;swelling in the lips;swelling in the cheeks;hoarseness;Dry cough;breathing labored;vomiting
angioedema;Dry cough;vomiting;swelling in the lips;swelling in the cheeks;hoarseness;breathing labored
angioedema;vomiting;swelling in the cheeks;hoarseness;Dry cough;swelling in the lips;breathing labored
angioedema;hoarseness;breathing labored;vomiting;swelling in the lips;Dry cough;swelling in the cheeks
angioedema;swelling in the lips;vomiting;breathing labored;hoarseness;Dry cough;swelling in the cheeks
angioedema;vomiting;swelling in the lips;breathing labored;swelling in the cheeks;hoarseness;Dry cough
angioedema;vomiting;swelling in the lips;hoarseness;swelling in the cheeks;breathing labored;Dry cough
angioedema;Dry cough;swelling in the lips;vomiting;swelling in the cheeks;breathing labored;hoarseness
angioedema;hoarseness;troubled breathing;swelling in the cheeks;swelling in the lips;abdominal pain;vomiting
angioedema;abdominal pain;swelling in the cheeks;swelling in the lips;vomiting;hoarseness;troubled breathing
angioedema;abdominal pain;swelling in the cheeks;troubled breathing;hoarseness;swelling in the lips;vomiting
angioedema;swelling in the lips;vomiting;swelling in the cheeks;troubled breathing;abdominal pain;hoarseness
angioedema;troubled breathing;swelling in the lips;swelling in the cheeks;abdominal pain;vomiting;hoarseness
angioedema;hoarseness;vomiting;swelling in the lips;abdominal pain;troubled breathing;swelling in the cheeks
angioedema;hoarseness;abdominal pain;vomiting;swelling in the cheeks;troubled breathing;swelling in the lips
angioedema;hoarseness;vomiting;troubled breathing;abdominal pain;swelling in the cheeks;swelling in the lips
angioedema;swelling in the area of language;stomach hurts;cough;porajenie of the oral mucosa;nausea;hoarse voice
angioedema;nausea;hoarse voice;porajenie of the oral mucosa;cough;stomach hurts;swelling in the area of language
angioedema;porajenie of the oral mucosa;cough;nausea;stomach hurts;swelling in the area of language;hoarse voice
angioedema;porajenie of the oral mucosa;nausea;stomach hurts;swelling in the area of language;hoarse voice;cough
angioedema;stomach hurts;swelling in the area of language;porajenie of the oral mucosa;hoarse voice;nausea;cough
angioedema;hoarse voice;swelling in the area of language;stomach hurts;nausea;cough;porajenie of the oral mucosa
angioedema;porajenie of the oral mucosa;nausea;hoarse voice;cough;stomach hurts;swelling in the area of language
angioedema;hoarse voice;nausea;swelling in the area of language;cough;porajenie of the oral mucosa;stomach hurts
angioedema;cough;swelling of the lips;abdominal pain;hoarseness;swelling of the cheeks;heavy breathing
angioedema;cough;hoarseness;heavy breathing;swelling of the lips;swelling of the cheeks;abdominal pain
angioedema;swelling of the lips;abdominal pain;hoarseness;swelling of the cheeks;cough;heavy breathing
angioedema;hoarseness;cough;heavy breathing;swelling of the lips;abdominal pain;swelling of the cheeks
angioedema;swelling of the lips;cough;hoarseness;swelling of the cheeks;heavy breathing;abdominal pain
angioedema;abdominal pain;swelling of the cheeks;swelling of the lips;cough;hoarseness;heavy breathing
angioedema;swelling of the cheeks;heavy breathing;swelling of the lips;hoarseness;abdominal pain;cough
angioedema;hoarseness;abdominal pain;swelling of the lips;heavy breathing;swelling of the cheeks;cough
heart failure;discomfort in the right upper quadrant;weakness;shortness of breath;cough;confusion;shortness of breath
heart failure;shortness of breath;weakness;discomfort in the right upper quadrant;confusion;cough;shortness of breath
heart failure;shortness of breath;cough;discomfort in the right upper quadrant;shortness of breath;weakness;confusion
heart failure;confusion;shortness of breath;cough;discomfort in the right upper quadrant;weakness;shortness of breath
heart failure;cough;shortness of breath;weakness;confusion;shortness of breath;discomfort in the right upper quadrant
heart failure;weakness;confusion;shortness of breath;shortness of breath;discomfort in the right upper quadrant;cough
heart failure;cough;weakness;shortness of breath;confusion;discomfort in the right upper quadrant;shortness of breath
heart failure;discomfort in the right upper quadrant;confusion;shortness of breath;cough;shortness of breath;weakness
heart failure;increased heartbeat;weakness;swelling;swelling in the lower legs;shortness of breath;dizziness
heart failure;increased heartbeat;dizziness;weakness;swelling;shortness of breath;swelling in the lower legs
heart failure;swelling;dizziness;weakness;swelling in the lower legs;shortness of breath;increased heartbeat
heart failure;dizziness;weakness;shortness of breath;swelling in the lower legs;swelling;increased heartbeat
heart failure;swelling in the lower legs;shortness of breath;swelling;dizziness;increased heartbeat;weakness
heart failure;increased heartbeat;shortness of breath;swelling;swelling in the lower legs;weakness;dizziness
heart failure;shortness of breath;dizziness;swelling in the lower legs;swelling;weakness;increased heartbeat
heart failure;dizziness;swelling;weakness;swelling in the lower legs;shortness of breath;increased heartbeat
heart failure;shortness of breath;swelling in the lower legs;fatigue;swelling in the abdomen;fatigue;shortness of breath
heart failure;fatigue;swelling in the lower legs;swelling in the abdomen;shortness of breath;fatigue;shortness of breath
heart failure;swelling in the lower legs;fatigue;fatigue;swelling in the abdomen;shortness of breath;shortness of breath
heart failure;swelling in the abdomen;shortness of breath;shortness of breath;fatigue;fatigue;swelling in the lower legs
heart failure;swelling in the lower legs;shortness of breath;shortness of breath;fatigue;swelling in the abdomen;fatigue
heart failure;swelling in the abdomen;shortness of breath;swelling in the lower legs;fatigue;fatigue;shortness of breath
heart failure;shortness of breath;swelling in the abdomen;fatigue;fatigue;shortness of breath;swelling in the lower legs
heart failure;fatigue;swelling in the abdomen;fatigue;swelling in the lower legs;shortness of breath;shortness of breath
heart failure;swelling in the lower legs;cough;edema;swelling in the abdomen;heartbeat;fatigue
heart failure;cough;fatigue;heartbeat;swelling in the lower legs;swelling in the abdomen;edema
heart failure;cough;edema;heartbeat;swelling in the lower legs;swelling in the abdomen;fatigue
heart failure;cough;swelling in the abdomen;fatigue;swelling in the lower legs;edema;heartbeat
heart failure;edema;swelling in the lower legs;swelling in the abdomen;heartbeat;cough;fatigue
heart failure;swelling in the lower legs;heartbeat;swelling in the abdomen;cough;fatigue;edema
heart failure;fatigue;swelling in the abdomen;edema;heartbeat;swelling in the lower legs;cough
heart failure;swelling in the lower legs;fatigue;swelling in the abdomen;heartbeat;cough;edema
myocardial infarction;pain behind the breastbone;pain in the hands;weakness;shortness of breath;anxiety;excessive sweating
myocardial infarction;shortness of breath;anxiety;pain in the hands;excessive sweating;weakness;pain behind the breastbone
myocardial infarction;shortness of breath;pain behind the breastbone;excessive sweating;pain in the hands;weakness;anxiety
myocardial infarction;pain in the hands;pain behind the breastbone;weakness;shortness of breath;excessive sweating;anxiety
myocardial infarction;pain behind the breastbone;anxiety;weakness;shortness of breath;pain in the hands;excessive sweating
myocardial infarction;pain behind the breastbone;weakness;excessive sweating;anxiety;shortness of breath;pain in the hands
myocardial infarction;shortness of breath;weakness;pain in the hands;anxiety;excessive sweating;pain behind the breastbone
myocardial infarction;shortness of breath;excessive sweating;anxiety;pain behind the breastbone;weakness;pain in the hands
myocardial infarction;headache;nausea;weakness;the rhythm of the heart;pain in the neck;dizziness
myocardial infarction;weakness;pain in the neck;dizziness;headache;nausea;the rhythm of the heart
myocardial infarction;the rhythm of the heart;headache;dizziness;nausea;weakness;pain in the neck
myocardial infarction;weakness;nausea;pain in the neck;the rhythm of the heart;dizziness;headache
myocardial infarction;weakness;headache;pain in the neck;the rhythm of the heart;nausea;dizziness
myocardial infarction;nausea;the rhythm of the heart;pain in the neck;dizziness;headache;weakness
myocardial infarction;dizziness;pain in the neck;headache;weakness;nausea;the rhythm of the heart
myocardial infarction;headache;nausea;dizziness;weakness;pain in the neck;the rhythm of the heart
myocardial infarction;pain in the neck;excessive sweating;pain in the shoulders;nausea;loss of consciousness;shortness of breath
myocardial infarction;excessive sweating;shortness of breath;loss of consciousness;pain in the neck;pain in the shoulders;nausea
myocardial infarction;loss of consciousness;nausea;excessive sweating;shortness of breath;pain in the neck;pain in the shoulders
myocardial infarction;nausea;pain in the neck;excessive sweating;loss of consciousness;pain in the shoulders;shortness of breath
myocardial infarction;pain in the neck;loss of consciousness;shortness of breath;excessive sweating;pain in the shoulders;nausea
myocardial infarction;pain in the neck;nausea;loss of consciousness;excessive sweating;shortness of breath;pain in the shoulders
myocardial infarction;nausea;excessive sweating;loss of consciousness;pain in the shoulders;shortness of breath;pain in the neck
myocardial infarction;shortness of breath;excessive sweating;loss of consciousness;pain in the neck;pain in the shoulders;nausea
myocardial infarction;sweating;weakness;high blood pressure;pain in the hands;" nausea";headache
myocardial infarction;headache;high blood pressure;weakness;pain in the hands;sweating;" nausea"
myocardial infarction;" nausea";weakness;sweating;high blood pressure;headache;pain in the hands
myocardial infarction;weakness;high blood pressure;sweating;headache;" nausea";pain in the hands
myocardial infarction;high blood pressure;pain in the hands;" nausea";headache;sweating;weakness
myocardial infarction;headache;pain in the hands;" nausea";high blood pressure;weakness;sweating
myocardial infarction;headache;high blood pressure;sweating;pain in the hands;weakness;" nausea"
myocardial infarction;" nausea";high blood pressure;headache;pain in the hands;weakness;sweating
acute appendicitis;abdominal pain;swollen belly;nausea;temperature;increased pain;the pain is worse when radulenii on the stomach
acute appendicitis;nausea;temperature;abdominal pain;increased pain;swollen belly;the pain is worse when radulenii on the stomach
acute appendicitis;abdominal pain;nausea;temperature;the pain is worse when radulenii on the stomach;increased pain;swollen belly
acute appendicitis;increased pain;the pain is worse when radulenii on the stomach;nausea;temperature;swollen belly;abdominal pain
acute appendicitis;temperature;swollen belly;the pain is worse when radulenii on the stomach;abdominal pain;increased pain;nausea
acute appendicitis;the pain is worse when radulenii on the stomach;increased pain;nausea;temperature;swollen belly;abdominal pain
acute appendicitis;temperature;abdominal pain;swollen belly;the pain is worse when radulenii on the stomach;nausea;increased pain
acute appendicitis;temperature;abdominal pain;increased pain;nausea;the pain is worse when radulenii on the stomach;swollen belly
acute appendicitis;the abdominal muscles are tense;constipation;the pain is worse when radulenii on the stomach;temperature;nausea;diarrhea
acute appendicitis;temperature;nausea;constipation;diarrhea;the abdominal muscles are tense;the pain is worse when radulenii on the stomach
acute appendicitis;the pain is worse when radulenii on the stomach;temperature;nausea;the abdominal muscles are tense;constipation;diarrhea
acute appendicitis;temperature;the pain is worse when radulenii on the stomach;diarrhea;nausea;constipation;the abdominal muscles are tense
acute appendicitis;the abdominal muscles are tense;temperature;the pain is worse when radulenii on the stomach;diarrhea;nausea;constipation
acute appendicitis;the abdominal muscles are tense;temperature;nausea;diarrhea;the pain is worse when radulenii on the stomach;constipation
acute appendicitis;nausea;diarrhea;the abdominal muscles are tense;temperature;constipation;the pain is worse when radulenii on the stomach
acute appendicitis;diarrhea;the abdominal muscles are tense;the pain is worse when radulenii on the stomach;constipation;nausea;temperature
acute appendicitis;constipation;swollen belly;temperature;nausea;bloating;increased pain in the abdomen radulenii
acute appendicitis;nausea;bloating;increased pain in the abdomen radulenii;temperature;constipation;swollen belly
acute appendicitis;increased pain in the abdomen radulenii;swollen belly;constipation;nausea;bloating;temperature
acute appendicitis;temperature;nausea;swollen belly;constipation;bloating;increased pain in the abdomen radulenii
acute appendicitis;swollen belly;increased pain in the abdomen radulenii;bloating;temperature;nausea;constipation
acute appendicitis;increased pain in the abdomen radulenii;temperature;constipation;nausea;swollen belly;bloating
acute appendicitis;swollen belly;nausea;increased pain in the abdomen radulenii;constipation;temperature;bloating
acute appendicitis;constipation;increased pain in the abdomen radulenii;temperature;bloating;swollen belly;nausea
acute appendicitis;temperature;abdominal pain;swollen belly;diarrhea;constipation;vomiting
acute appendicitis;abdominal pain;vomiting;temperature;diarrhea;swollen belly;constipation
acute appendicitis;swollen belly;temperature;diarrhea;abdominal pain;constipation;vomiting
acute appendicitis;constipation;temperature;abdominal pain;vomiting;diarrhea;swollen belly
acute appendicitis;temperature;swollen belly;diarrhea;vomiting;abdominal pain;constipation
acute appendicitis;temperature;abdominal pain;vomiting;swollen belly;constipation;diarrhea
acute appendicitis;diarrhea;abdominal pain;temperature;swollen belly;constipation;vomiting
acute appendicitis;abdominal pain;constipation;diarrhea;temperature;swollen belly;vomiting
cholecystitis;Pain in the right upper quadrant;unpleasant taste in the mouth;bloating;The tension of the abdominal muscles;headache;temperature
cholecystitis;Pain in the right upper quadrant;temperature;The tension of the abdominal muscles;headache;unpleasant taste in the mouth;bloating
cholecystitis;temperature;The tension of the abdominal muscles;headache;unpleasant taste in the mouth;Pain in the right upper quadrant;bloating
cholecystitis;headache;bloating;Pain in the right upper quadrant;temperature;The tension of the abdominal muscles;unpleasant taste in the mouth
cholecystitis;Pain in the right upper quadrant;bloating;unpleasant taste in the mouth;The tension of the abdominal muscles;headache;temperature
cholecystitis;bloating;headache;unpleasant taste in the mouth;Pain in the right upper quadrant;temperature;The tension of the abdominal muscles
cholecystitis;bloating;unpleasant taste in the mouth;headache;temperature;The tension of the abdominal muscles;Pain in the right upper quadrant
cholecystitis;The tension of the abdominal muscles;bloating;unpleasant taste in the mouth;Pain in the right upper quadrant;headache;temperature
cholecystitis;bitter taste in the mouth;vomiting;temperature rise;Regular belching;Pain in the right upper quadrant;nausea
cholecystitis;Regular belching;temperature rise;vomiting;Pain in the right upper quadrant;bitter taste in the mouth;nausea
cholecystitis;bitter taste in the mouth;vomiting;Regular belching;temperature rise;nausea;Pain in the right upper quadrant
cholecystitis;Pain in the right upper quadrant;Regular belching;temperature rise;vomiting;nausea;bitter taste in the mouth
cholecystitis;bitter taste in the mouth;Regular belching;nausea;Pain in the right upper quadrant;temperature rise;vomiting
cholecystitis;temperature rise;nausea;bitter taste in the mouth;vomiting;Regular belching;Pain in the right upper quadrant
cholecystitis;bitter taste in the mouth;Pain in the right upper quadrant;nausea;Regular belching;temperature rise;vomiting
cholecystitis;nausea;Regular belching;Pain in the right upper quadrant;vomiting;temperature rise;bitter taste in the mouth
cholecystitis;Loose stools;Pain in the right upper quadrant;Yellowing of the skin;Low blood pressure;Shortness of breath;Palpitations
cholecystitis;Loose stools;Low blood pressure;Palpitations;Shortness of breath;Pain in the right upper quadrant;Yellowing of the skin
cholecystitis;Low blood pressure;Pain in the right upper quadrant;Shortness of breath;Palpitations;Loose stools;Yellowing of the skin
cholecystitis;Yellowing of the skin;Shortness of breath;Low blood pressure;Loose stools;Palpitations;Pain in the right upper quadrant
cholecystitis;Loose stools;Yellowing of the skin;Shortness of breath;Low blood pressure;Pain in the right upper quadrant;Palpitations
cholecystitis;Yellowing of the skin;Low blood pressure;Pain in the right upper quadrant;Loose stools;Palpitations;Shortness of breath
cholecystitis;Shortness of breath;Yellowing of the skin;Loose stools;Pain in the right upper quadrant;Palpitations;Low blood pressure
cholecystitis;Pain in the right upper quadrant;Palpitations;Yellowing of the skin;Low blood pressure;Shortness of breath;Loose stools
cystitis;an unpleasant sensation in the ureter;turbid urine color;discomfort;pain in the lower abdomen;burning sensation in perineum;
cystitis;an unpleasant sensation in the ureter;burning sensation in perineum;pain in the lower abdomen;;discomfort;turbid urine color
cystitis;burning sensation in perineum;discomfort;turbid urine color;pain in the lower abdomen;an unpleasant sensation in the ureter;
cystitis;burning sensation in perineum;pain in the lower abdomen;turbid urine color;discomfort;an unpleasant sensation in the ureter;
cystitis;burning sensation in perineum;discomfort;;pain in the lower abdomen;turbid urine color;an unpleasant sensation in the ureter
cystitis;burning sensation in perineum;;turbid urine color;pain in the lower abdomen;discomfort;an unpleasant sensation in the ureter
cystitis;;pain in the lower abdomen;turbid urine color;discomfort;an unpleasant sensation in the ureter;burning sensation in perineum
cystitis;burning sensation in perineum;pain in the lower abdomen;an unpleasant sensation in the ureter;turbid urine color;discomfort;
cystitis;pus from the urethra;;stands out blood after urinating;fever;pain when urinating;frequent urination
cystitis;pain when urinating;;pus from the urethra;fever;stands out blood after urinating;frequent urination
cystitis;fever;pain when urinating;pus from the urethra;;frequent urination;stands out blood after urinating
cystitis;;stands out blood after urinating;pus from the urethra;frequent urination;pain when urinating;fever
cystitis;frequent urination;;fever;stands out blood after urinating;pus from the urethra;pain when urinating
cystitis;;fever;stands out blood after urinating;pus from the urethra;frequent urination;pain when urinating
cystitis;fever;pus from the urethra;pain when urinating;frequent urination;stands out blood after urinating;
cystitis;pain when urinating;fever;frequent urination;pus from the urethra;stands out blood after urinating;
cystitis;unpleasant smell of urine;urinary incontinence;the presence of blood in the urine;;pain in the lumbar region;the presence in urine of mucus
cystitis;unpleasant smell of urine;;the presence of blood in the urine;urinary incontinence;the presence in urine of mucus;pain in the lumbar region
cystitis;the presence of blood in the urine;;unpleasant smell of urine;pain in the lumbar region;the presence in urine of mucus;urinary incontinence
cystitis;;the presence of blood in the urine;unpleasant smell of urine;pain in the lumbar region;the presence in urine of mucus;urinary incontinence
cystitis;urinary incontinence;the presence in urine of mucus;pain in the lumbar region;the presence of blood in the urine;unpleasant smell of urine;
cystitis;pain in the lumbar region;unpleasant smell of urine;urinary incontinence;the presence in urine of mucus;the presence of blood in the urine;
cystitis;pain in the lumbar region;;unpleasant smell of urine;the presence of blood in the urine;the presence in urine of mucus;urinary incontinence
cystitis;the presence in urine of mucus;the presence of blood in the urine;;urinary incontinence;pain in the lumbar region;unpleasant smell of urine
pyelonephritis;Nausea;;vomiting;Temperature rise;chills;weakness
pyelonephritis;weakness;;Temperature rise;Nausea;chills;vomiting
pyelonephritis;;Temperature rise;weakness;Nausea;chills;vomiting
pyelonephritis;vomiting;;Nausea;weakness;chills;Temperature rise
pyelonephritis;Temperature rise;vomiting;;weakness;chills;Nausea
pyelonephritis;Nausea;Temperature rise;weakness;vomiting;;chills
pyelonephritis;chills;Temperature rise;weakness;;Nausea;vomiting
pyelonephritis;weakness;;Nausea;chills;Temperature rise;vomiting
pyelonephritis;;Palpitations;Dehydration;Frequent urination;Fever;A small swelling
pyelonephritis;Dehydration;Frequent urination;A small swelling;;Palpitations;Fever
pyelonephritis;Fever;Palpitations;;Frequent urination;A small swelling;Dehydration
pyelonephritis;A small swelling;Dehydration;;Palpitations;Fever;Frequent urination
pyelonephritis;Fever;;Frequent urination;Palpitations;A small swelling;Dehydration
pyelonephritis;Dehydration;Fever;Palpitations;;A small swelling;Frequent urination
pyelonephritis;A small swelling;Frequent urination;Dehydration;Palpitations;Fever;
pyelonephritis;Frequent urination;;Dehydration;Fever;Palpitations;A small swelling
pyelonephritis;Dull aching pain in my side;Temperature rise;Nausea;Dehydration;;burning pain during urination
pyelonephritis;Dehydration;;Temperature rise;Dull aching pain in my side;Nausea;burning pain during urination
pyelonephritis;Dull aching pain in my side;;burning pain during urination;Dehydration;Nausea;Temperature rise
pyelonephritis;Nausea;Temperature rise;;Dehydration;Dull aching pain in my side;burning pain during urination
pyelonephritis;Nausea;burning pain during urination;Dull aching pain in my side;;Temperature rise;Dehydration
pyelonephritis;burning pain during urination;Dull aching pain in my side;;Temperature rise;Dehydration;Nausea
pyelonephritis;Nausea;Temperature rise;burning pain during urination;;Dull aching pain in my side;Dehydration
pyelonephritis;Nausea;;burning pain during urination;Temperature rise;Dull aching pain in my side;Dehydration
coronary heart disease;Faults in work of heart;increase in blood pressure;palpitations;;Pain behind the breastbone;Shortness of breath
coronary heart disease;increase in blood pressure;Pain behind the breastbone;Faults in work of heart;palpitations;;Shortness of breath
coronary heart disease;palpitations;Faults in work of heart;;Pain behind the breastbone;increase in blood pressure;Shortness of breath
coronary heart disease;increase in blood pressure;Pain behind the breastbone;;palpitations;Shortness of breath;Faults in work of heart
coronary heart disease;Shortness of breath;Faults in work of heart;Pain behind the breastbone;;increase in blood pressure;palpitations
coronary heart disease;Faults in work of heart;palpitations;;increase in blood pressure;Pain behind the breastbone;Shortness of breath
coronary heart disease;palpitations;Shortness of breath;increase in blood pressure;Pain behind the breastbone;;Faults in work of heart
coronary heart disease;;Shortness of breath;increase in blood pressure;Pain behind the breastbone;palpitations;Faults in work of heart
coronary heart disease;burning sensation in the chest;;the appearance of pale gray skin tone;the pain experienced in the neck;dilated pupils;Shortness of breath
